short_name,overall,nationality,team_position,age,height_cm,weight_kg,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes
P. van Ooijen,67,Netherlands,LW,27,180,73,74,59,44,66,67,73,74,68,66,67,55,69,68,64,72,78,33,63,60,75,45,50,59,67,61,66,42,42,32,15,11,11,9,7
P. van Amersfoort,68,Netherlands,RCM,23,193,77,47,66,68,65,58,65,44,40,69,71,60,67,70,66,39,69,64,83,70,67,67,56,66,67,60,70,47,52,37,15,14,9,13,13
P. Valdivia,68,France,CDM,31,185,77,60,67,62,69,51,58,64,68,70,67,52,52,71,66,56,72,73,76,75,72,68,69,64,64,62,67,63,65,63,7,10,15,8,8
P. Ulvestad,63,Norway,CM,28,194,85,49,46,57,59,55,53,56,43,55,62,38,51,44,62,51,69,53,70,79,57,69,61,52,54,46,58,62,62,63,10,13,10,11,16
P. Tytoń,69,Poland,GK,32,195,83,10,14,14,32,13,15,13,12,32,20,51,49,48,66,40,50,65,31,71,14,32,22,13,35,22,51,5,17,14,67,64,66,69,72
P. Tomasik,65,Poland,LB,31,177,72,66,40,52,63,50,56,40,66,59,59,70,74,71,63,71,63,72,79,71,61,66,61,58,65,48,60,58,64,63,11,6,7,15,14
P. Testroet,70,Germany,ST,28,186,86,57,72,65,62,67,63,77,39,41,68,66,73,60,68,76,71,76,72,79,66,70,35,71,55,70,63,32,40,33,12,10,15,16,12
P. Taylor,64,England,CAM,31,170,71,53,58,56,54,63,71,55,58,44,68,75,79,72,67,87,64,32,71,58,62,50,29,63,61,63,60,15,24,25,9,8,11,8,14
P. Sweeney,64,Republic of Ireland,RB,24,178,80,58,38,58,56,35,54,45,30,54,62,72,73,69,58,68,50,78,80,74,34,63,59,51,53,53,54,60,61,60,8,14,15,7,12
P. Strand,66,Norway,LW,24,175,71,64,60,48,64,59,66,67,68,64,63,87,84,87,58,71,71,72,92,65,66,62,64,58,65,56,60,56,60,58,14,10,9,7,10
P. Stolarski,66,Poland,LB,23,181,74,63,51,59,65,52,62,48,36,62,64,90,87,77,55,68,55,44,83,65,48,52,56,59,62,47,59,50,62,64,10,12,15,7,9
P. Steinhart,67,Germany,LB,26,182,80,72,47,59,65,51,59,73,76,70,65,74,73,71,49,69,66,72,81,68,57,62,63,53,62,64,59,58,62,68,10,14,9,15,12
P. Souaré,67,Senegal,LB,29,178,66,71,43,58,67,43,67,68,63,66,67,68,60,69,69,68,60,81,51,61,52,71,67,66,64,49,65,73,68,70,8,8,14,16,10
P. Sontheimer,65,Germany,RDM,20,168,65,57,45,28,69,46,64,57,40,67,68,68,68,83,62,91,51,61,85,43,36,68,61,52,63,49,66,59,58,62,6,14,6,8,12
P. Sokół,60,Poland,GK,19,193,84,13,7,12,29,9,11,11,14,17,14,28,20,38,38,23,44,38,23,63,9,19,13,6,37,19,42,11,10,11,61,64,58,61,62
P. Soiri,62,Finland,LW,24,183,63,57,67,45,59,47,65,45,40,55,59,75,74,63,45,68,69,45,55,56,47,56,35,69,55,54,49,48,35,45,11,12,10,6,7
P. Sohm,65,Germany,RS,27,186,77,62,62,48,60,57,62,66,37,54,63,76,77,73,66,61,72,54,85,75,56,48,17,67,59,54,68,24,23,25,13,11,10,8,7
P. Smyth,63,Northern Ireland,RW,21,175,72,54,63,56,58,56,65,52,38,46,63,82,85,89,58,78,60,71,72,49,55,49,25,62,60,61,59,29,31,26,10,10,7,11,12
P. Seguin,69,Germany,CDM,24,186,79,56,44,66,71,46,62,44,43,69,65,66,65,65,70,63,62,69,74,74,51,64,67,50,60,48,67,68,69,67,14,11,6,15,8
P. Schürpf,66,Switzerland,RM,29,190,85,65,67,67,65,49,60,62,60,63,61,73,70,56,63,59,77,60,72,78,62,60,53,67,65,59,64,59,56,53,6,16,13,16,7
P. Schobesberger,70,Austria,LS,25,176,64,67,66,55,66,59,68,61,54,61,72,89,90,86,59,75,61,86,69,71,64,61,47,58,66,48,62,40,42,44,15,13,15,14,11
P. Schmidt,65,Germany,CF,25,185,83,31,70,65,50,61,54,35,27,27,64,64,67,68,51,63,65,64,58,75,56,28,18,67,37,58,62,19,22,19,11,12,6,14,7
P. Sané,65,Senegal,RS,27,187,84,42,60,63,59,57,63,59,41,42,62,70,73,69,55,49,68,72,69,79,62,49,22,64,43,67,52,27,22,20,11,7,16,14,6
P. Sandler,70,Netherlands,RCB,22,190,82,32,23,68,72,28,71,62,70,70,70,64,65,64,62,55,63,71,61,74,52,66,65,40,66,46,68,69,74,68,12,13,15,13,11
P. Salomon,65,Austria,RCM,31,179,70,48,51,55,65,50,61,64,69,57,63,62,60,69,68,71,67,72,78,69,59,69,65,66,64,40,68,57,59,56,10,12,16,16,15
P. Ruffaut,65,France,RCM,32,182,77,61,63,36,70,52,65,66,69,59,66,59,65,59,64,58,74,53,67,70,71,43,52,67,65,63,67,44,44,41,14,12,13,7,13
P. Rojas,70,Colombia,LM,27,167,72,66,64,42,66,45,72,39,29,57,66,92,93,84,59,85,64,72,75,57,55,40,22,58,64,74,66,31,24,26,10,7,12,5,11
P. Riese,68,Germany,LCM,29,175,68,59,49,41,64,43,59,40,51,67,61,71,67,72,65,79,65,82,90,65,57,77,65,49,60,61,62,67,67,65,8,7,9,12,12
P. Pomykal,69,United States,CAM,19,170,66,62,55,42,71,56,67,63,65,72,65,77,72,81,65,82,59,67,79,56,60,58,33,66,70,60,69,67,58,53,10,6,13,6,11
P. Polomat,69,France,LB,25,183,78,69,40,53,65,32,62,54,64,59,63,78,78,65,62,66,68,69,77,75,49,75,67,56,57,47,58,66,64,68,9,10,12,13,16
P. Petrescu,62,Romania,RM,26,176,72,57,60,38,59,42,62,38,33,46,63,81,79,75,37,64,53,47,71,37,34,37,18,58,59,49,48,26,31,37,11,9,12,10,8
P. Perina,65,Italy,GK,27,186,82,16,11,20,25,15,13,17,13,20,13,35,32,35,45,38,50,40,25,20,11,25,29,13,48,20,43,18,11,11,68,67,66,66,66
P. Parzyszek,67,Poland,LS,25,190,80,42,66,71,65,65,61,52,43,33,65,59,62,59,68,58,62,64,70,79,58,65,26,69,59,56,64,44,37,24,14,10,10,10,7
P. Olsen,63,Denmark,CM,25,175,72,42,31,31,68,58,65,71,57,67,59,58,65,67,56,75,48,54,73,59,57,72,45,61,71,51,67,64,36,28,6,7,15,14,14
P. Olkowski,69,Poland,RB,29,184,76,65,50,55,68,56,69,53,36,58,68,74,75,74,67,65,67,62,81,72,65,68,64,64,60,47,67,62,72,67,13,15,10,15,10
P. Nymann,65,Denmark,RB,36,179,75,65,53,48,64,50,62,61,40,58,66,70,75,66,73,68,64,63,71,66,54,65,60,55,60,55,66,62,63,60,11,11,14,13,14
P. Nsiah,61,France,RAM,24,186,75,32,63,62,39,48,61,44,32,28,56,77,78,62,49,69,60,56,57,73,46,39,19,58,49,58,47,22,16,12,9,14,6,6,13
P. Ng,61,England,RB,23,180,77,51,36,58,59,44,54,36,47,50,52,74,69,59,55,57,45,65,72,67,53,62,57,42,49,34,54,58,61,62,10,6,8,16,7
P. Netzer,67,Austria,LCB,33,188,80,46,43,72,67,43,55,37,43,62,60,40,41,44,58,55,66,48,60,70,50,73,66,40,58,35,57,63,68,66,10,9,6,11,9
P. Mpanzu,67,England,CDM,25,175,74,60,53,65,69,52,69,43,35,64,66,80,78,66,65,82,70,74,82,83,56,68,67,62,65,44,68,66,67,64,16,7,14,15,11
P. Mortensen,68,Denmark,ST,29,190,78,39,68,70,64,60,60,34,33,28,63,55,51,61,68,53,72,83,66,83,62,55,26,69,63,60,64,28,22,21,7,13,16,12,8
P. McNair,70,Northern Ireland,RCM,24,183,72,43,53,70,68,45,66,49,36,66,66,63,62,58,69,63,66,78,61,74,58,74,71,58,62,43,66,72,72,72,14,8,11,8,14
P. McGinn,64,Scotland,RB,28,183,79,60,48,57,62,44,62,54,34,58,62,78,77,70,57,70,58,66,82,69,54,70,59,61,56,43,55,56,59,57,5,5,15,4,6
P. McEleney,67,Republic of Ireland,CAM,26,180,84,58,57,56,65,62,66,66,61,60,67,73,82,84,65,67,64,57,70,68,60,46,53,63,69,61,71,57,55,47,7,11,12,8,15
P. Malinowski,62,Poland,RM,35,170,66,54,54,40,62,40,61,55,42,61,57,71,77,71,50,72,53,70,71,58,57,33,49,62,67,46,61,34,28,25,9,6,8,11,10
P. Magalhães,69,Chile,RB,29,177,74,64,42,72,65,29,59,60,34,65,61,76,73,72,64,66,31,84,83,68,56,73,63,55,58,56,57,71,65,71,8,10,14,10,16
P. Lemonnier,66,France,RCB,25,182,76,28,25,67,56,26,48,29,23,42,46,58,62,50,57,58,38,74,72,71,22,63,66,25,27,40,55,63,68,67,11,11,13,6,6
P. Kurzweg,66,Germany,RB,25,180,80,74,49,44,67,33,66,71,49,60,62,82,82,79,62,71,50,80,77,66,40,74,53,54,55,48,49,53,64,66,7,8,7,15,6
P. Kun,65,Poland,LM,24,165,54,61,41,51,65,34,62,57,58,61,63,88,85,91,52,93,51,81,89,38,43,70,38,60,57,40,52,40,44,51,7,12,6,9,14
P. Kirkevold,68,Norway,RS,28,185,90,64,68,64,63,61,64,64,67,58,66,66,67,60,63,63,72,65,72,82,64,77,26,69,56,68,67,40,27,26,14,6,13,11,16
P. Kieszek,70,Poland,GK,35,187,82,14,20,20,31,12,14,16,12,39,15,50,46,35,69,48,50,70,32,69,9,38,25,11,44,9,49,22,11,13,71,68,67,68,70
P. Kanstrup,70,Denmark,RCB,30,188,81,54,36,68,63,43,55,48,58,62,62,63,68,60,67,63,69,68,83,84,39,71,67,48,56,49,69,71,67,68,8,9,16,14,13
P. Joosten,69,Netherlands,LW,23,180,66,72,63,52,62,67,69,76,73,53,72,83,80,81,66,66,82,54,69,58,76,50,38,59,62,55,65,34,32,28,8,16,15,10,11
P. Izzo,67,Australia,GK,24,184,81,11,14,15,34,10,22,14,15,32,23,46,47,48,60,59,47,63,33,63,16,28,24,14,47,12,58,15,19,20,68,63,63,66,69
P. Itter,60,Germany,RB,24,177,80,54,24,41,58,47,58,58,52,51,60,66,70,70,59,71,62,75,70,66,53,67,56,51,46,51,55,53,61,60,13,9,13,12,13
P. Iemmello,70,Italy,ST,27,179,74,56,72,62,62,64,65,64,58,52,72,77,81,75,64,73,65,69,80,71,56,30,20,76,57,66,66,21,15,14,12,10,6,12,11
P. Huspek,68,Austria,RM,28,172,69,64,64,41,65,49,67,64,50,58,69,93,90,91,52,88,65,87,89,46,59,55,23,57,51,58,62,38,23,21,15,16,14,9,7
P. Hofmann,67,Germany,RS,26,195,89,28,60,75,63,60,55,46,31,47,65,45,63,46,65,34,80,54,64,91,62,67,23,67,58,59,71,24,34,21,14,10,15,11,15
P. Hoban,69,Republic of Ireland,ST,27,180,84,54,71,71,59,61,58,58,56,53,65,66,70,62,66,66,67,65,78,84,59,58,33,68,54,70,65,37,35,34,13,13,9,13,12
P. Herrmann,67,Germany,RB,31,180,80,62,19,47,57,23,51,59,28,56,56,69,64,64,62,66,35,78,75,70,20,72,67,28,31,20,52,65,70,75,15,9,8,9,10
P. Hercher,64,Germany,LB,23,184,81,62,63,42,63,49,63,60,36,55,64,71,78,67,58,65,63,37,78,74,59,64,30,63,47,50,47,33,37,32,6,8,15,10,8
P. Helland,70,Norway,RW,29,186,84,72,65,53,68,51,71,71,71,65,70,75,73,73,67,69,84,51,68,65,75,64,48,70,65,64,66,49,39,49,13,9,13,13,16
P. Hanlon,68,Scotland,LCB,29,185,70,55,28,66,59,13,52,59,12,55,60,72,63,77,64,64,42,82,81,77,22,66,65,23,52,40,61,63,70,68,15,10,6,10,10
P. Haglund,66,Sweden,RS,32,189,88,40,65,75,67,45,58,48,42,62,63,47,53,50,68,51,68,64,77,79,64,81,60,69,64,58,65,58,61,53,10,13,7,11,6
P. Gueye,63,France,LCM,20,187,65,43,36,52,66,45,59,42,35,57,63,63,64,41,56,54,64,51,67,74,35,67,59,42,59,42,58,63,64,59,12,12,12,14,12
P. Green,64,Republic of Ireland,LCM,36,170,77,61,52,56,64,52,57,48,55,63,62,55,55,71,62,80,62,79,82,67,58,72,60,54,63,63,62,57,63,62,13,11,10,14,11
P. González,66,Mexico,RCM,26,174,70,68,59,58,68,46,62,69,40,65,66,68,68,69,62,67,67,61,72,73,47,67,65,62,68,59,68,61,67,61,13,12,10,13,14
P. Golubović,64,Serbia,RB,24,179,72,68,24,43,62,29,58,62,31,46,55,65,61,67,61,70,24,64,70,77,23,63,62,53,40,37,60,61,65,65,8,13,7,5,13
P. Göbel,66,Germany,RM,25,169,68,71,59,39,72,36,67,71,67,72,65,79,73,83,67,86,60,62,81,62,42,57,60,60,66,63,61,57,58,59,8,16,14,11,14
P. Gibaud,68,France,RCB,31,184,69,62,36,67,60,44,50,53,31,57,66,64,65,60,65,68,59,73,72,77,54,67,62,46,46,43,65,67,67,70,9,7,9,7,8
P. Ghiglione,66,Italy,RM,22,187,80,70,50,58,60,50,68,49,40,53,70,74,75,65,67,59,60,41,47,61,42,57,65,68,63,59,59,60,65,65,7,13,7,7,14
P. Förster,69,Germany,CAM,24,188,82,54,56,52,73,49,70,58,63,67,69,66,68,65,69,62,68,58,86,75,61,61,55,66,70,54,68,57,57,46,8,8,6,6,6
P. Farman,62,England,GK,29,186,81,13,19,20,30,18,8,9,7,21,18,43,42,30,62,60,47,57,37,58,9,22,17,15,50,26,43,16,18,13,63,58,63,59,64
P. Erhardt,62,Austria,CDM,25,185,69,48,33,66,61,29,58,48,30,59,65,56,42,66,52,61,55,80,70,69,51,71,63,44,48,38,62,55,60,58,7,14,7,7,16
P. Dziczek,68,Poland,CM,21,179,70,43,43,63,69,31,63,40,40,67,66,62,64,68,64,74,47,81,90,66,55,66,68,63,64,42,64,61,63,61,10,8,12,11,15
P. Downing,67,England,RCB,27,188,79,47,30,66,57,37,40,36,30,55,50,63,55,46,60,47,57,81,69,77,34,64,67,30,42,40,57,66,67,62,7,14,14,9,12
P. Dimitriadis,66,Sweden,RCB,33,182,78,57,40,59,63,50,62,52,60,61,64,68,66,62,67,72,75,66,73,74,59,65,64,55,64,45,68,63,65,64,16,13,9,8,9
P. Diaw,66,Senegal,LCB,24,193,85,31,17,65,31,40,30,27,30,29,50,73,78,71,62,36,35,81,70,84,25,70,65,53,39,33,57,57,69,67,14,8,6,6,12
P. Di Nardo,61,Switzerland,CDM,29,175,71,56,50,58,65,32,56,35,38,57,58,61,55,68,56,72,46,62,70,64,38,82,55,38,45,47,52,56,62,62,9,10,10,9,7
P. Da Silva,61,Denmark,LWB,24,172,75,60,30,49,57,27,54,36,37,54,62,74,75,71,57,82,45,84,75,67,34,84,54,56,52,39,57,50,56,55,14,12,11,8,8
P. Cuadra,70,Argentina,RS,24,165,62,40,67,63,63,54,78,53,45,60,71,92,91,86,62,91,71,67,63,70,60,32,18,63,68,66,62,22,21,16,15,10,14,13,5
P. Coutts,70,Scotland,RCM,30,183,75,63,59,51,75,52,65,62,59,72,72,57,58,65,66,69,67,58,71,73,68,71,64,57,70,65,72,66,64,59,14,8,8,11,13
P. Clement,68,Netherlands,LCM,23,177,67,63,59,55,73,56,66,64,57,68,69,72,66,77,70,75,61,66,67,49,61,55,59,58,66,57,67,58,56,53,6,11,9,11,12
P. Clarke,64,England,LCB,37,183,83,25,32,66,50,13,27,38,37,48,40,29,31,49,62,32,50,72,60,81,43,74,63,43,56,37,63,65,60,59,11,10,14,10,15
P. Carlgren,66,Sweden,GK,27,188,84,13,13,18,23,9,14,10,15,16,22,33,33,48,73,43,44,59,34,62,14,21,14,14,48,21,51,20,12,13,69,61,59,62,64
P. Bueno,64,Argentina,ST,29,181,65,29,68,63,39,41,62,37,31,28,66,67,70,64,59,69,65,69,64,49,58,33,13,70,57,63,58,11,18,16,8,8,11,11,12
P. Brożek,65,Poland,ST,36,180,79,57,69,66,65,58,60,53,50,48,62,31,36,65,65,79,65,55,31,82,61,57,29,73,69,69,72,17,32,21,15,14,8,11,12
P. Breier,65,Germany,ST,27,185,77,58,63,61,59,62,65,63,58,56,65,67,69,66,66,67,66,68,78,72,53,68,32,65,57,51,66,30,29,23,8,11,15,10,11
P. Bråtveit,70,Norway,GK,23,184,72,15,20,15,24,17,15,13,18,27,15,45,46,39,69,59,54,59,38,45,15,19,23,20,50,15,50,8,17,13,72,64,72,70,68
P. Branduani,65,Italy,GK,30,192,83,23,16,12,20,14,13,15,13,20,22,54,56,50,54,30,45,70,30,65,12,29,21,11,37,31,28,25,13,12,62,67,60,65,66
P. Bochniewicz,67,Poland,LCB,23,194,85,29,19,63,64,24,45,31,25,62,55,34,34,33,59,51,34,63,62,82,26,65,65,23,58,30,70,67,69,65,5,12,7,6,13
P. Bijen,69,Netherlands,RCB,24,189,87,33,35,68,64,28,59,36,34,55,62,54,53,49,58,55,50,73,67,81,42,68,64,29,34,36,65,69,69,71,8,6,10,10,15
P. Berg,64,Norway,CM,21,178,70,53,55,41,66,50,62,54,49,62,64,74,77,71,62,77,61,57,77,64,58,55,52,59,62,52,60,47,56,54,14,11,16,10,8
P. Bengtsson,67,Sweden,LB,31,175,74,65,43,48,67,55,63,64,63,61,66,70,69,73,65,74,64,70,68,60,60,55,62,63,64,47,62,64,67,68,6,10,15,9,11
P. Bartolomei,70,Italy,RCM,29,183,76,66,59,59,75,66,71,63,71,71,72,79,75,69,67,61,76,51,78,67,73,69,61,60,63,48,67,59,60,59,10,14,12,10,12
P. Barrera,70,Mexico,RM,32,178,72,70,64,50,68,60,70,67,64,65,71,74,76,76,65,63,70,68,70,71,64,65,48,68,67,67,68,34,51,37,16,8,14,8,9
P. Bardy,65,France,CB,26,182,71,26,18,69,67,25,57,38,28,55,65,58,63,43,61,62,44,66,57,59,17,61,68,24,30,39,66,64,62,66,7,7,11,5,8
P. Banggaard,69,Denmark,LCB,25,196,84,39,36,68,63,36,35,35,37,58,60,56,61,33,59,47,45,53,72,81,37,70,69,33,41,32,61,70,69,67,8,14,16,11,14
P. Arajuuri,69,Finland,LCB,31,193,92,27,36,70,57,25,39,43,28,59,45,34,33,36,63,37,51,71,66,91,24,81,71,29,32,20,64,61,68,65,8,13,16,13,8
P. Amond,63,Republic of Ireland,LS,31,178,79,45,66,64,50,60,56,61,38,37,60,59,69,65,59,70,64,73,64,70,59,42,29,64,55,65,58,50,22,18,11,12,9,16,14
P. Alvarado,70,Argentina,RCB,33,181,80,56,31,70,56,28,59,27,34,55,61,51,61,61,69,60,45,81,65,74,34,67,67,43,34,40,68,65,73,70,14,6,14,7,11
P. Abrahamsson,69,Sweden,GK,30,190,85,19,18,24,20,18,15,20,16,22,21,41,42,42,62,36,51,58,26,73,13,24,28,16,42,17,49,25,15,17,69,70,68,67,68
Óscar Sielva,66,Spain,RDM,27,177,69,56,49,46,73,45,64,71,64,69,68,61,64,68,64,74,56,50,56,54,55,48,51,59,73,49,48,55,49,47,7,15,6,13,15
Ortuño,68,Spain,ST,28,184,77,49,67,67,58,69,64,68,53,41,67,62,66,59,63,59,70,63,50,76,58,38,29,75,59,70,63,39,18,15,11,9,16,14,15
Oriol Riera,68,Spain,RS,32,184,78,45,66,69,63,67,62,57,57,57,63,66,64,58,70,69,70,75,69,70,65,73,41,68,64,65,65,41,31,27,12,12,8,11,10
Oh Seung Hoon,67,Korea Republic,GK,31,192,79,13,17,11,29,11,15,11,16,19,17,43,48,31,59,46,46,55,16,66,11,18,20,11,42,21,55,16,20,13,69,62,61,69,68
Oh Beom Seok,68,Korea Republic,LCM,34,181,77,65,56,56,65,53,61,52,51,63,65,68,70,68,71,66,65,76,75,80,66,71,68,63,72,67,63,69,69,64,13,10,8,11,6
O. Zawada,66,Poland,ST,23,192,83,41,67,65,55,59,57,53,39,34,65,73,75,58,59,56,67,54,66,81,54,40,22,63,56,61,49,20,23,22,10,7,7,15,6
O. Wijndal,68,Netherlands,LB,19,176,65,60,36,57,65,28,70,41,38,52,69,85,83,84,66,74,45,74,74,57,33,64,60,56,52,42,64,66,66,63,8,12,6,9,13
O. Vâlceanu,62,Romania,GK,22,187,77,11,6,13,23,5,9,13,13,17,17,19,33,39,48,45,44,56,19,37,8,27,14,7,30,10,38,5,13,10,62,65,59,65,61
O. Valakari,62,Finland,LCM,19,187,82,55,57,52,68,44,56,47,41,65,62,59,58,45,62,53,59,53,67,72,44,40,43,60,64,53,64,38,46,47,6,9,14,9,6
O. Turton,64,England,RCB,26,180,75,60,48,53,65,19,54,40,35,63,58,71,70,81,53,73,45,63,88,69,31,50,58,53,59,46,44,61,62,60,8,15,9,10,14
O. Söderberg,64,Sweden,GK,28,194,94,11,12,14,13,11,12,13,11,12,15,32,28,40,58,47,47,60,22,61,13,17,20,12,42,15,50,23,15,14,64,63,63,64,64
O. Sangante,67,Senegal,RCM,28,188,87,48,38,60,68,34,59,42,39,65,65,69,53,62,62,56,60,59,81,78,52,70,66,54,58,47,56,62,67,58,9,12,9,13,12
O. Salinas,67,Chile,RS,31,169,66,60,68,68,62,48,67,37,26,52,65,91,88,84,56,79,63,69,84,76,57,48,34,63,55,59,53,25,16,18,15,9,10,14,7
O. Rushfort,60,England,RS,22,169,72,51,62,52,58,56,59,60,54,47,58,75,74,72,53,48,57,54,59,49,61,49,16,59,57,62,57,18,18,19,5,13,10,8,12
O. Richards,66,England,LB,20,171,69,54,56,53,62,34,64,42,34,52,63,84,81,81,57,66,43,67,75,54,27,55,63,54,47,36,54,59,68,63,11,9,13,10,11
O. Rathbone,65,England,RDM,22,176,76,43,45,39,69,51,66,49,42,61,67,75,72,63,56,70,64,60,82,58,70,60,60,53,60,41,55,54,60,58,6,6,5,11,15
O. Palmer,64,England,ST,27,196,92,38,65,66,52,46,55,42,27,33,65,53,70,58,56,67,62,39,65,91,54,75,24,68,51,62,65,13,25,28,14,12,14,8,14
O. Özdemir,60,Turkey,RB,21,177,77,51,34,46,53,35,57,39,41,47,54,73,71,66,53,72,38,55,70,65,37,58,59,45,34,42,46,60,62,60,12,11,5,10,9
O. Osawe,67,Nigeria,ST,25,181,79,43,65,62,61,63,64,43,32,33,61,84,85,73,63,67,66,81,71,76,60,46,16,66,52,60,62,33,24,16,6,15,8,9,10
O. Olomola,60,England,ST,21,180,80,31,62,58,42,50,59,42,30,35,62,64,74,52,46,76,59,66,64,76,51,60,20,58,51,60,54,19,24,24,14,13,7,11,12
O. Okwonkwo,70,Nigeria,RW,21,173,72,64,63,53,68,65,71,68,58,53,68,88,91,78,64,66,74,53,68,73,66,69,34,64,61,60,61,56,56,30,7,13,7,12,15
O. Occéan,65,Canada,ST,37,185,86,56,63,71,62,60,57,53,41,34,62,51,58,60,63,65,68,80,49,85,61,70,39,64,56,69,66,36,34,25,6,15,12,9,15
O. Norburn,65,England,LCM,26,185,82,62,58,55,66,51,65,61,56,67,66,72,75,73,53,68,61,65,82,75,66,73,46,60,63,69,69,49,57,52,16,12,15,11,16
O. Muzayil,62,Saudi Arabia,RWB,26,173,61,55,33,52,58,29,57,31,40,51,60,75,77,66,59,74,48,65,71,64,33,66,57,53,49,43,48,58,60,58,10,12,11,8,6
O. Mudrinski,68,Serbia,ST,27,187,83,46,68,72,62,64,59,44,39,44,63,51,65,58,59,62,72,67,61,83,66,59,33,69,53,65,59,21,18,14,7,8,7,9,9
O. Mendoza,65,Mexico,RB,30,173,72,60,22,59,60,27,58,53,35,56,62,67,68,68,63,58,44,66,74,72,39,77,64,52,42,28,58,58,65,65,13,10,10,16,13
O. Linnér,70,Sweden,GK,22,198,82,18,17,18,20,11,18,19,12,21,25,34,36,31,58,22,50,58,43,69,16,23,19,13,50,32,50,13,14,11,69,69,67,72,70
O. Lancashire,62,England,RCB,30,186,75,21,27,64,52,20,22,19,24,57,47,55,39,60,59,51,44,75,76,77,30,56,60,24,40,21,59,59,64,60,12,16,9,15,14
O. Kittner,67,Germany,RCB,31,189,83,47,27,69,63,26,43,41,35,63,53,54,38,48,62,57,65,64,53,78,36,60,58,30,41,49,52,69,73,62,12,13,8,13,15
O. Kiomourtzoglou,64,Germany,CDM,21,188,75,37,34,58,62,34,49,36,39,58,60,70,64,64,62,61,47,73,74,77,43,68,63,48,53,40,58,61,68,61,13,13,6,13,9
O. Kemen,70,France,CDM,22,177,76,55,61,64,71,51,72,52,53,69,71,75,74,73,63,74,74,81,80,78,66,75,68,57,69,57,68,60,68,72,16,9,6,11,9
O. Käuper,65,Germany,CDM,22,187,77,46,58,58,70,47,62,52,47,65,68,63,54,62,64,61,62,49,65,73,55,56,51,55,65,55,54,63,58,44,12,7,7,13,11
O. Jansson,68,Sweden,GK,28,187,82,15,15,16,30,14,16,13,13,33,22,31,30,28,63,42,48,55,35,60,12,23,15,8,47,23,56,22,13,18,70,64,64,68,69
O. Horșia,62,Romania,CAM,18,172,69,42,58,36,65,40,62,46,56,57,64,64,69,80,45,70,60,63,68,49,53,42,25,59,62,43,52,31,42,49,14,8,14,15,8
O. Hein,64,Germany,RB,29,174,67,58,55,50,64,61,65,64,63,63,67,71,67,76,63,81,62,79,72,56,66,58,62,59,52,45,63,60,61,61,10,7,7,9,16
O. Hedvall,61,Denmark,GK,20,195,84,14,13,19,26,15,13,14,14,26,19,25,27,37,51,44,46,52,29,54,13,25,16,7,56,14,43,20,13,13,65,61,61,59,59
O. Hawsawi,70,Saudi Arabia,LCB,33,185,76,26,20,66,64,21,41,30,26,48,48,67,66,70,71,47,40,80,74,86,32,76,72,45,36,36,61,61,69,67,10,8,7,11,10
O. Halvorsen,66,Norway,RM,31,178,75,64,56,46,59,55,65,54,62,56,66,74,73,67,62,67,64,79,82,63,56,70,51,65,58,71,60,58,57,48,15,10,6,9,11
O. Fôn Williams,66,Wales,GK,32,193,77,20,11,16,22,11,11,11,12,13,22,55,56,61,66,44,44,61,39,72,13,37,24,11,38,16,42,16,11,12,64,62,58,65,68
O. Duarte,67,Colombia,ST,23,173,68,57,65,60,65,59,68,52,40,37,66,77,78,74,64,61,62,70,74,71,61,47,26,69,60,71,57,22,22,18,9,15,12,5,6
O. De Wolf,69,Belgium,GK,22,190,83,11,8,12,22,9,9,10,10,21,18,33,37,39,59,22,57,53,23,62,8,26,9,7,33,16,29,11,10,14,67,70,76,69,71
O. Custodio,64,Switzerland,CDM,24,179,76,47,40,50,65,57,65,49,48,64,69,69,64,61,59,70,62,61,78,65,45,59,65,43,67,64,65,57,57,58,10,13,7,12,8
O. Clarke,66,England,CM,27,180,77,55,57,56,67,56,64,58,53,63,69,64,60,68,61,71,73,63,84,76,70,78,68,51,56,57,59,60,67,62,9,12,8,9,12
O. Cissokho,68,Senegal,LM,32,175,68,67,65,52,65,33,66,79,36,59,63,69,74,69,69,66,36,59,71,69,50,61,44,68,67,58,62,52,27,34,7,6,6,15,15
O. Christensen,64,Denmark,GK,20,190,82,10,5,9,22,5,13,16,9,25,15,37,36,33,53,34,47,61,42,62,6,32,13,6,43,10,38,14,13,11,65,63,63,64,65
O. Bic,65,Romania,RCM,25,179,75,46,47,38,68,42,59,49,42,65,61,67,68,66,59,66,59,65,73,67,43,71,66,61,59,61,59,67,59,58,12,6,13,11,15
O. Batista Meier,63,Germany,LM,18,178,67,51,60,35,49,47,74,52,45,43,68,78,73,83,61,81,66,60,59,35,63,34,19,57,58,58,54,36,27,27,10,15,14,12,6
